Algo,Acc,F1
LightGBM,0.9073625993778085,0.9062398778220477
CatBoost,0.9032146560663671,0.9002146351548952
XGBoost,0.9025233321811269,0.9005605550252684
RandomForest,0.9011406844106464,0.9006250910524554
MLP-NN,0.28862772208779813,0.22522062270983967
